2024-04-02 19:29:33,067|5|0|34.3941|Connection.Open||
2024-04-02 19:29:33,067|42|0|34.4008|Connection.Open||
2024-04-02 19:29:33,091|5|0|0.8389|Connection.Open||
2024-04-02 19:29:33,094|5|0|0.601|Connection.Open||
2024-04-02 19:29:34,269|27|0|0.867|Connection.Open||
2024-04-02 19:29:34,269|43|0|0.7653|Connection.Open||
2024-04-02 19:29:39,379|24|0|0.82|Connection.Open||
2024-04-02 19:29:39,379|44|0|0.6129|Connection.Open||
2024-04-02 19:30:58,499|5|0|36.4696|Connection.Open||
2024-04-02 19:30:58,499|47|0|36.4698|Connection.Open||
2024-04-02 19:30:58,521|5|0|0.7182|Connection.Open||
2024-04-02 19:30:58,525|5|0|0.6087|Connection.Open||
2024-04-02 19:30:58,588|21|0|0.53|Connection.Open||
2024-04-02 19:30:58,588|48|0|0.7664|Connection.Open||
2024-04-02 19:30:58,663|49|0|0.6267|Connection.Open||
2024-04-02 19:30:58,663|20|0|0.5744|Connection.Open||
2024-04-02 19:30:59,828|50|0|0.6543|Connection.Open||
2024-04-02 19:30:59,828|39|0|0.4764|Connection.Open||
2024-04-02 19:31:04,921|22|0|0.7164|Connection.Open||
2024-04-02 19:31:04,921|51|0|0.7953|Connection.Open||
2024-04-02 19:31:35,054|62|0|0.7585|Connection.Open||
2024-04-02 19:31:35,054|24|0|0.6757|Connection.Open||
2024-04-02 19:32:35,201|44|0|0.838|Connection.Open||
2024-04-02 19:32:35,201|63|0|0.8354|Connection.Open||
2024-04-02 19:36:04,486|5|0|34.9485|Connection.Open||
2024-04-02 19:36:04,486|44|0|34.9529|Connection.Open||
2024-04-02 19:36:04,510|5|0|0.5704|Connection.Open||
2024-04-02 19:36:04,513|5|0|0.4091|Connection.Open||
2024-04-02 19:36:05,641|45|0|0.7236|Connection.Open||
2024-04-02 19:36:05,641|25|0|0.5662|Connection.Open||
2024-04-02 19:36:10,749|22|0|0.74|Connection.Open||
2024-04-02 19:36:10,749|46|0|0.6925|Connection.Open||
2024-04-02 20:21:34,701|5|0|41.1154|Connection.Open||
2024-04-02 20:21:34,701|47|0|41.1244|Connection.Open||
2024-04-02 20:21:34,730|5|0|0.8747|Connection.Open||
2024-04-02 20:21:34,732|5|0|0.6347|Connection.Open||
2024-04-02 20:21:34,816|48|0|1.0517|Connection.Open||
2024-04-02 20:21:34,816|6|0|0.7071|Connection.Open||
2024-04-02 20:21:34,881|49|0|0.6406|Connection.Open||
2024-04-02 20:21:34,881|35|0|0.7065|Connection.Open||
2024-04-02 20:21:34,965|50|0|0.8827|Connection.Open||
2024-04-02 20:21:34,965|22|0|0.682|Connection.Open||
2024-04-02 20:21:35,804|36|0|0.7528|Connection.Open||
2024-04-02 20:21:35,804|51|0|0.5434|Connection.Open||
2024-04-02 20:21:35,899|52|0|0.6732|Connection.Open||
2024-04-02 20:21:35,899|40|0|0.5098|Connection.Open||
2024-04-02 20:21:55,365|53|0|0.8136|Connection.Open||
2024-04-02 20:21:55,365|63|0|0.7115|Connection.Open||
2024-04-02 20:21:56,138|64|0|0.776|Connection.Open||
2024-04-02 20:21:56,138|61|0|0.5554|Connection.Open||
2024-04-02 20:21:56,255|65|0|0.6242|Connection.Open||
2024-04-02 20:21:56,255|57|0|0.608|Connection.Open||
2024-04-02 20:25:06,382|5|0|34.3297|Connection.Open||
2024-04-02 20:25:06,382|45|0|34.3302|Connection.Open||
2024-04-02 20:25:06,406|5|0|0.5342|Connection.Open||
2024-04-02 20:25:06,409|5|0|0.4725|Connection.Open||
2024-04-02 20:25:06,457|19|0|0.6282|Connection.Open||
2024-04-02 20:25:06,457|46|0|0.5332|Connection.Open||
2024-04-02 20:25:07,247|47|0|0.6265|Connection.Open||
2024-04-02 20:25:07,247|23|0|0.7962|Connection.Open||
2024-04-02 20:25:07,333|21|0|0.6291|Connection.Open||
2024-04-02 20:25:07,333|48|0|0.607|Connection.Open||
2024-04-02 20:31:15,493|52|0|0.8013|Connection.Open||
2024-04-02 20:31:15,493|59|0|0.8691|Connection.Open||
2024-04-02 20:31:16,258|24|0|0.8364|Connection.Open||
2024-04-02 20:31:16,258|60|0|0.807|Connection.Open||
2024-04-02 20:31:16,364|53|0|0.7322|Connection.Open||
2024-04-02 20:31:16,364|61|0|0.6117|Connection.Open||
